location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240101T0000,6.5302453,0.0,81.2849,15.94601,208.30075,73.0
20240101T0100,6.2402453,0.0,83.22755,15.683774,211.86598,73.0
20240101T0200,6.210245,0.0,84.7112,16.704155,217.11687,84.0
20240101T0300,6.170245,0.1,84.94641,16.363178,219.64418,74.0
20240101T0400,6.1602454,0.0,83.80913,16.323528,221.42366,50.0
20240101T0500,6.130245,0.0,84.10285,15.629971,218.4537,53.0
20240101T0600,6.020245,0.0,84.32747,15.9134655,217.64761,41.0
20240101T0700,6.040245,0.0,84.449776,15.192682,216.32683,39.0
20240101T0800,6.290245,0.0,82.822174,14.693999,210.96376,44.0
20240101T0900,6.8402452,0.0,81.61914,15.696165,216.60707,42.0
20240101T1000,7.4302454,0.0,78.20641,14.291592,220.91438,52.0
20240101T1100,8.080246,0.0,75.3871,16.323528,228.57634,68.0
20240101T1200,8.210245,0.0,75.784424,16.279802,234.90419,53.0
20240101T1300,8.190246,0.0,76.4252,14.57889,237.09476,41.0
20240101T1400,8.290245,0.0,75.05355,13.089354,238.49574,27.0
20240101T1500,8.080246,0.0,75.12102,9.504272,232.69606,24.0
20240101T1600,7.0102453,0.0,79.64705,7.928177,219.47246,36.0
20240101T1700,5.7202454,0.0,85.010635,7.342588,191.30994,40.0
20240101T1800,5.2602453,0.0,86.418076,7.92,180.0,30.000002
20240101T1900,5.420245,0.0,85.39759,7.928178,182.60257,30.000002
20240101T2000,5.110245,0.0,86.277504,8.64,180.0,30.000002
20240101T2100,5.3102455,0.0,84.65669,8.647496,177.61406,30.000002
20240101T2200,5.6002455,0.0,84.45306,10.086427,177.95459,56.0
20240101T2300,5.8302455,0.0,82.46372,10.538843,187.85332,96.0
20240102T0000,6.1602454,0.0,80.252014,12.371645,188.36589,99.0
20240102T0100,6.6402454,0.0,77.46423,15.192682,193.70695,99.0
20240102T0200,7.3502455,0.1,72.56643,17.309973,196.92752,100.0
20240102T0300,7.5702453,0.4,75.34709,19.721298,201.41296,100.0
20240102T0400,7.7202454,0.6,79.81503,22.057161,206.14685,100.0
